COUNTRY,YEAR,OCCURRENCES
Albania,1833,3
Albania,1851,2
Albania,1866,4
Albania,1867,1
Albania,1869,1
Albania,1893,1
Albania,1911,1
Albania,1920,2
Algeria,1802,2
Algeria,1856,7
Algeria,1857,2
Algeria,1891,2
Algeria,1954,1
Algeria,1980,2
Algeria,1989,2
Algeria,2003,5
Angola,1820,2
Antarctica,1964,2
Antarctica,1967,2
Antarctica,1998,1
Antarctica,2004,7
Antarctica,2005,1
Antarctica,2009,1
Antarctica,2010,1
Antarctica,2011,2
Antarctica,2013,2
Argentina,1964,1
Argentina,2004,1
Australia,1836,1
Australia,1858,1
Australia,1859,2
Australia,1866,2
Australia,1867,1
Australia,1868,7
Australia,1869,1
Australia,1870,1
Australia,1877,2
Australia,1883,7
Australia,1888,1
Australia,1899,2
Australia,1909,1
Australia,1922,2
Australia,1924,1
Australia,1929,1
Australia,1930,1
Australia,1931,1
Australia,1933,1
Australia,1960,18
Australia,1964,1
Australia,1976,1
Australia,1977,13
Australia,1989,3
Australia,1994,5
Australia,1995,3
Australia,1997,1
Australia,2000,2
Australia,2003,1
Australia,2004,9
Australia,2005,1
Australia,2006,4
Australia,2007,6
Australia,2009,5
Australia,2010,5
Australia,2011,6
Australia,2012,3
Australia,2013,4
Australia,2014,1
Bangladesh,1842,2
Bangladesh,1874,2
Bangladesh,1988,1
Bangladesh,2008,1
Bangladesh,2012,1
Benin,1905,1
Brazil,2004,2
Brazil,2011,1
Bulgaria,1901,1
Bulgaria,2007,1
Canada,1848,5
Canada,1864,2
Canada,1908,4
Canada,1914,5
Canada,1915,1
Canada,1917,8
Canada,1918,3
Canada,1919,1
Canada,1922,1
Canada,1923,4
Canada,1928,4
Canada,1929,33
Canada,1931,1
Canada,1933,1
Canada,1934,1
Canada,1938,2
Canada,1944,1
Canada,1946,8
Canada,1949,1
Canada,1951,1
Canada,1952,3
Canada,1957,2
Canada,1958,1
Canada,1960,19
Canada,1963,10
Canada,1964,25
Canada,1968,1
Canada,1969,1
Canada,1970,1
Canada,1971,1
Canada,1973,1
Canada,1974,1
Canada,1975,6
Canada,1986,1
Canada,2004,10
Canada,2005,2
Canada,2006,14
Canada,2007,2
Canada,2009,4
Canada,2010,11
Canada,2011,29
Canada,2012,76
Canada,2013,9
Canada,2014,3
Chile,1811,2
Chile,1819,4
Chile,1822,6
Chile,1835,21
Chile,1836,3
Chile,1837,4
Chile,1838,1
Chile,1839,1
Chile,1847,2
Chile,1849,4
Chile,1851,3
Chile,1855,1
Chile,1858,2
Chile,1859,2
Chile,1868,40
Chile,1869,14
Chile,1871,7
Chile,1873,2
Chile,1877,42
Chile,1878,26
Chile,1879,2
Chile,1880,3
Chile,1881,4
Chile,1882,4
Chile,1883,1
Chile,1885,2
Chile,1888,1
Chile,1898,2
Chile,1899,2
Chile,1903,4
Chile,1906,23
Chile,1909,1
Chile,1911,1
Chile,1918,3
Chile,1920,2
Chile,1922,9
Chile,1923,8
Chile,1925,1
Chile,1926,4
Chile,1927,2
Chile,1928,7
Chile,1929,2
Chile,1930,3
Chile,1931,1
Chile,1933,3
Chile,1934,2
Chile,1936,4
Chile,1939,2
Chile,1940,2
Chile,1943,3
Chile,1946,9
Chile,1948,2
Chile,1949,5
Chile,1950,1
Chile,1952,6
Chile,1953,1
Chile,1955,5
Chile,1956,2
Chile,1957,7
Chile,1960,34
Chile,1961,1
Chile,1964,8
Chile,1965,5
Chile,1966,12
Chile,1967,3
Chile,1968,2
Chile,1970,3
Chile,1971,2
Chile,1972,2
Chile,1973,2
Chile,1974,1
Chile,1975,1
Chile,1983,2
Chile,1985,15
Chile,1986,3
Chile,1987,5
Chile,1988,2
