YEAR,COUNTRY,RUNUP_HT,DEATHS,CAUSE
2004,INDONESIA,25.5,0, 
2004,INDONESIA,25.6,0, 
2004,INDONESIA,26.3,0, 
1861,INDONESIA,7.0,50, 
1861,INDONESIA,1.5,135, 
2004,INDONESIA,10.2,0, 
2004,INDONESIA,10.4,0, 
2004,INDONESIA,10.4,0, 
2004,INDONESIA,10.4,0, 
2004,INDONESIA,10.5,0, 
2004,INDONESIA,10.6,0, 
2004,INDONESIA,10.8,0, 
2004,INDONESIA,10.8,0, 
2004,INDONESIA,10.8,0, 
2004,INDONESIA,10.8,0, 
2004,INDONESIA,11.0,0, 
2004,INDONESIA,11.0,0, 
2004,INDONESIA,11.0,0, 
2004,INDONESIA,11.1,0, 
2004,INDONESIA,9.5,0, 
2004,SRI LANKA,7.0,0, 
2005,SRI LANKA,0.21,10, 
2004,INDONESIA,9.5,0, 
2004,SRI LANKA,8.0,0, 
2004,INDONESIA,9.5,0, 
2004,SRI LANKA,4.5,0, 
2004,INDONESIA,9.5,0, 
2004,INDONESIA,9.6,0, 
2004,SRI LANKA,7.0,0, 
2004,INDONESIA,9.8,0, 
2004,SRI LANKA,5.0,0, 
2004,INDONESIA,9.8,0, 
2004,SRI LANKA,6.0,0, 
2007,SRI LANKA,0.3,0, 
2004,INDONESIA,9.8,0, 
2004,SRI LANKA,7.0,0, 
2007,SRI LANKA,0.3,0, 
2004,INDONESIA,9.8,0, 
2004,SRI LANKA,6.0,0, 
2005,INDONESIA,1.0,0, 
2004,SRI LANKA,7.0,0, 
2004,INDONESIA,10.0,0, 
2004,SRI LANKA,6.0,0, 
2004,INDONESIA,10.0,0, 
2004,INDONESIA,10.0,0, 
2004,INDONESIA,11.2,0, 
2004,INDONESIA,11.2,0, 
2004,INDONESIA,10.0,0, 
2004,INDONESIA,11.2,0, 
2004,INDONESIA,10.1,0, 
2004,INDONESIA,11.3,0, 
2004,INDONESIA,11.3,0, 
2004,INDONESIA,10.2,0, 
2004,INDONESIA,26.5,0, 
2004,INDONESIA,26.8,0, 
2004,INDONESIA,27.0,0, 
2004,INDONESIA,27.0,0, 
2012,SRI LANKA,0.11,0, 
2012,SRI LANKA,0.24,0, 
2004,INDONESIA,18.7,0, 
1881,SRI LANKA,0.0,0, 
2012,INDONESIA,0.37,0, 
2004,INDONESIA,18.9,0, 
2012,INDONESIA,1.08,0, 
1881,SRI LANKA,0.0,0, 
2004,INDONESIA,2.7,0, 
2004,INDONESIA,19.3,0, 
2004,INDONESIA,3.2,0, 
2004,INDONESIA,19.5,0, 
1882,SRI LANKA,0.0,0, 
2004,INDONESIA,3.0,0, 
2004,INDONESIA,19.6,0, 
2004,INDONESIA,19.8,0, 
2004,INDONESIA,6.1,0, 
2004,INDONESIA,0.25,0, 
